,file_name,caption
166963,COCO_val2014_000000278829.jpg,A baseball field with players and a crowd of spectators.
138911,COCO_val2014_000000478175.jpg,The view of a restroom toilet near a kitchen.
45089,COCO_val2014_000000490842.jpg,a half eaten pizza on a tray  
34043,COCO_val2014_000000241638.jpg,A man is downhill skiing in the snow. 
82766,COCO_val2014_000000205282.jpg,A group of giraffes that are standing in the grass.
150718,COCO_val2014_000000287663.jpg,A group of boats sitting next to each other on a beach.
30758,COCO_val2014_000000031092.jpg,An individual sitting on a crotch-rocket next to a parked bicycle. 
144357,COCO_val2014_000000441553.jpg,A crowd of people stand beside a train
133510,COCO_val2014_000000194297.jpg,A toilet in a stall with safety railings.
173009,COCO_val2014_000000304361.jpg,a little girl standing in a living room while holding a big remote 
192435,COCO_val2014_000000098141.jpg,a person riding a horse with trees in the back ground
152635,COCO_val2014_000000515147.jpg,A view of a bed and a crib in the middle of a room.
133929,COCO_val2014_000000099081.jpg,A women who is looking at the door of a passenger train.
145240,COCO_val2014_000000529950.jpg,A plethora of stop signs sitting in a storage area.
129181,COCO_val2014_000000383039.jpg,Two adult sheep eat at the green grass.
134086,COCO_val2014_000000152525.jpg,"A sign reads ""Library Way"" next to a traffic light."
18298,COCO_val2014_000000040635.jpg,A view of a farmers market being looked at by many people.
191445,COCO_val2014_000000094162.jpg,A train has pulled up to a platform that has a yellow line.
195973,COCO_val2014_000000272857.jpg,These two poles street signs have the names of two U.S. presidents.
178490,COCO_val2014_000000447553.jpg,A man and woman flying a kite on a beach
141755,COCO_val2014_000000213465.jpg,A person on a snowboard stopped on a snowy hill.
68406,COCO_val2014_000000239618.jpg,A captive elephant bellows from behind the fence.
38919,COCO_val2014_000000142360.jpg,A boy is practicing jumping on his skateboard. 
12630,COCO_val2014_000000147488.jpg,A girl standing in a puddle throwing an umbrella in the air.
23084,COCO_val2014_000000572571.jpg,a pitcher throwing a ball towards a batter during a Dodgers game 
196460,COCO_val2014_000000229342.jpg,A large dog laying on the floor next to a couch and a dark colored cat laying on the floor to the side of the dog.
82544,COCO_val2014_000000079930.jpg,A group of three people on a motorcycle driving down the road
77691,COCO_val2014_000000488278.jpg,A large commercial plane with a flower on the tail
62392,COCO_val2014_000000401163.jpg,Two man at the park and dog laying on the ground.
124980,COCO_val2014_000000167456.jpg,a group of small boats parked next to some rocks in the water
166737,COCO_val2014_000000279279.jpg,Two horses nuzzle each other in a grassy field.
91626,COCO_val2014_000000283717.jpg,THERE IS A MICROWAVE  THAT IS ON THE DESK TOP 
92285,COCO_val2014_000000047873.jpg,We are looking across a counter in a diner.
155545,COCO_val2014_000000490725.jpg,A cat sleeping on the arm of a couch under a window.
1313,COCO_val2014_000000084982.jpg,A street sign is printed in both English and foreign languages
171275,COCO_val2014_000000031481.jpg,"A boat sitting on the ground, where their use to be water."
160434,COCO_val2014_000000107939.jpg,A stop sign and trees at an intersection through a fisheye lens
104591,COCO_val2014_000000343951.jpg,An old white boat docked at a pier.
86920,COCO_val2014_000000447647.jpg,A bag with numerous sewing and knitting  accessories.
65240,COCO_val2014_000000243341.jpg,A person is riding a wave on a surfboard.
8513,COCO_val2014_000000411027.jpg,A partially eaten pulled meat sandwich rests on a blue picnic table. 
92665,COCO_val2014_000000482784.jpg,Many people are standing around and observing an occurrence.  
193537,COCO_val2014_000000285275.jpg,An ornate wooden bed has a fancy quilt on it.
121298,COCO_val2014_000000020913.jpg,A couple of hotdogs are on a plate
98996,COCO_val2014_000000398454.jpg,Signs showing the intersection of two streets in a European country.
138903,COCO_val2014_000000448176.jpg,Cars and a van sitting on a ferry as it travels across a river.
123684,COCO_val2014_000000360132.jpg,A giraffe standing next to a field filled with trees.
137393,COCO_val2014_000000193405.jpg,Boy in bathroom holding toothbrush with pirate costume on
154843,COCO_val2014_000000497348.jpg,A street sign posted to a pole that reads no through road.
129503,COCO_val2014_000000045959.jpg,A black lamppost with a white traffic sign on side of street.
202045,COCO_val2014_000000402720.jpg,A group of three men at a restaurant drinking wine. 
33497,COCO_val2014_000000518249.jpg,A horse with a child on top is standing on a street.
136226,COCO_val2014_000000214919.jpg,"A plate full of food including:  broccoli, quinoa, black beans and vegetables.
 "
154032,COCO_val2014_000000267112.jpg,a couple of people on motor bikes ride through a street 
52645,COCO_val2014_000000372249.jpg,an image of a bird perched up on a fence
177889,COCO_val2014_000000275933.jpg,A group of young men play a game of soccer.
160611,COCO_val2014_000000535602.jpg,A open box with pizza on the ground.
10892,COCO_val2014_000000422870.jpg,A motor home is pulling flat bed with motor bikes.
154541,COCO_val2014_000000504958.jpg,A pair of orange and silver buses rolling along the road.
154128,COCO_val2014_000000578792.jpg,A person is leaning low on their motorcycle on the tracks.
61043,COCO_val2014_000000346968.jpg,A smiling woman in uniform on a cell phone.
186084,COCO_val2014_000000484225.jpg,A yellow freight train is traveling on a track
63316,COCO_val2014_000000317479.jpg,a blue truck some people trees and blue umbrellas
82855,COCO_val2014_000000262900.jpg,There is a giraffe that is eating from the grass
167017,COCO_val2014_000000031151.jpg,There are three ski mannequins set up on a slope
97760,COCO_val2014_000000250790.jpg,A person that is eating some food on a table.
140923,COCO_val2014_000000239943.jpg,an image of a herd of zebras in the zoo
32513,COCO_val2014_000000223019.jpg,An Asian subway station with a subway car stationary. 
33987,COCO_val2014_000000579326.jpg,Vegetables and greens laid out on a cloth. 
160096,COCO_val2014_000000169389.jpg,A field of many sheep in front of a large building and water.
131635,COCO_val2014_000000562856.jpg,A food tray holing a pastry and a drink.
194729,COCO_val2014_000000397665.jpg,A group of people walking around a bunch of bikes.
38587,COCO_val2014_000000266991.jpg,Horses graze in a grassy field behind a stream.
27866,COCO_val2014_000000440830.jpg,Woman holding up a group of suitcases in public. 
101295,COCO_val2014_000000043324.jpg,a man that is holding a surfboard in his hand
68705,COCO_val2014_000000428336.jpg,A woman holding a colorful umbrella with writing on it.
130203,COCO_val2014_000000422424.jpg,A cat laying on a wooden shelf sleeping.
99535,COCO_val2014_000000391144.jpg,A group of adult elephants and one baby elephant drinking water.
95898,COCO_val2014_000000193504.jpg,A surfer in a wetsuit carries his surfboard towards the water.
23983,COCO_val2014_000000163436.jpg,A man is riding a surfboard in the ocean.
81951,COCO_val2014_000000515716.jpg,A couple of women standing on either side of a man wearing glasses.
103550,COCO_val2014_000000509008.jpg,a yellow and pink bus parked by itself
189744,COCO_val2014_000000085803.jpg,A kitchen with shelves and gray marble countertops
131564,COCO_val2014_000000538458.jpg,there are two skate boarders doing tricks on the street
117847,COCO_val2014_000000022371.jpg,A man that is sitting at a desk with a pen and laptop.
24650,COCO_val2014_000000277984.jpg,Room with cramped quarters holding dining table set and extra chairs.
102787,COCO_val2014_000000186589.jpg,Two animals laying beside each other on a blanket.
95914,COCO_val2014_000000243699.jpg,A man posing in the woods with a surfboard. 
92814,COCO_val2014_000000303520.jpg,A woman cutting up a large chocolate sheet cake.
9866,COCO_val2014_000000488977.jpg,a baby with a yellow onsie on playing with a laptop
29198,COCO_val2014_000000259853.jpg,Young children sitting around the table eating cake.
60983,COCO_val2014_000000142687.jpg,A man cooking a pizza in a large oven.
171665,COCO_val2014_000000332844.jpg,a woman standing on the beach with a dog
43351,COCO_val2014_000000552573.jpg,Man sitting on top of water with a large green umbrella.
25355,COCO_val2014_000000443860.jpg,A man in a blue shirt looking at his cell phone.
82128,COCO_val2014_000000158760.jpg,A kitchen that has white cabinets in it.
119765,COCO_val2014_000000107650.jpg,Two people sitting in the back of a blue wagon filled with boxes. 
159017,COCO_val2014_000000173799.jpg,Two people stand in front of a bunch of elephants 
21497,COCO_val2014_000000343643.jpg,A double decker bus parked by a sidewalk.
3116,COCO_val2014_000000140007.jpg,A woman on skis holding one hand up with a pole.
115545,COCO_val2014_000000560439.jpg,Three people walk through the very snowy landscape.
105257,COCO_val2014_000000138728.jpg,"A team playing ultimate frisbee in a field
"
19143,COCO_val2014_000000405004.jpg,Nicely decorated living room area that looks very comforting and inviting
131493,COCO_val2014_000000464144.jpg,A skier is skiing in the winter snow outdoors.
75286,COCO_val2014_000000165009.jpg,A man and a woman standing next to a cake on a table.
